Age,Education,YearsAtCompany,MonthlyIncome,SatisfactionScore,Attrition,Education_Encoded,Dept_Engineering,Dept_Finance,Dept_HR,Dept_Marketing,Dept_Sales,Attrition_Encoded,Age_MinMax,MonthlyIncome_Zscore,KMeans_Cluster,Hierarchical_Cluster
59.0,High School,1.0,47699.28,5.0,Yes,0,False,False,False,True,False,1,0.6537634408602151,-0.4884458970519921,1,1
49.0,PhD,4.0,75016.68,1.0,No,3,False,False,False,True,False,0,0.4817204301075269,1.2360659443436468,1,1
35.0,PhD,4.0,55095.68,5.0,No,3,False,False,True,False,False,0,0.2408602150537634,-0.0215208096096034,1,1
28.0,Bachelor's,5.0,59960.51,1.0,No,1,False,False,False,True,False,0,0.1204301075268817,0.285589564780959,4,4
42.5,Bachelor's,18.0,54779.23,2.0,Yes,1,False,False,True,False,False,1,0.3698924731182795,-0.0414978854736916,4,3
59.0,PhD,7.0,66946.08,3.0,No,3,True,False,False,False,False,0,0.6537634408602151,0.7265794900263387,1,1
39.0,High School,15.0,55095.68,1.0,No,0,False,False,True,False,False,0,0.3096774193548387,-0.0215208096096034,4,3
43.0,Master's,12.0,30029.6,5.0,No,2,False,False,True,False,False,0,0.3784946236559139,-1.6039097550206018,0,1
31.0,PhD,0.0,54907.01,2.0,No,3,False,False,False,True,False,0,0.1720430107526881,-0.0334313006927999,1,4
31.0,High School,21.0,61046.79,1.0,No,0,False,False,False,True,False,0,0.1720430107526881,0.3541650047229466,4,0
44.0,Bachelor's,19.0,71840.17,3.0,No,1,False,False,False,False,True,0,0.3956989247311828,1.0355370100632375,3,0
56.0,Bachelor's,16.0,33382.06,4.0,No,1,False,False,False,False,True,0,0.6021505376344086,-1.392273326670714,0,3
44.0,High School,6.0,55095.68,1.0,No,0,True,False,False,False,False,0,0.3956989247311828,-0.0215208096096034,4,3
23.0,Master's,24.0,53870.45,2.0,Yes,2,False,False,False,False,True,1,0.0344086021505376,-0.0988679818673287,3,0
42.0,Bachelor's,12.0,38481.22,3.0,Yes,1,False,False,True,False,False,1,0.3612903225806451,-1.0703700049354463,4,3
22.0,Bachelor's,3.0,62315.1,2.0,Yes,1,False,False,False,True,False,1,0.0172043010752688,0.4342317612063784,2,4
44.0,Bachelor's,3.0,66210.52,2.0,No,1,False,False,False,False,True,0,0.3956989247311828,0.680144546361972,1,1
50.0,High School,5.0,50639.62,3.0,Yes,0,False,False,False,False,True,1,0.4989247311827957,-0.3028260669170136,4,1
58.0,PhD,18.0,55095.68,2.0,Yes,3,True,False,False,False,False,1,0.6365591397849463,-0.0215208096096034,3,0
22.0,Bachelor's,11.0,50209.6,3.0,No,1,True,False,False,False,False,0,0.0172043010752688,-0.3299726687911656,2,2
41.0,PhD,21.0,48299.75,1.0,No,3,False,False,True,False,False,0,0.3440860215053763,-0.4505390089366208,3,0
53.0,Master's,6.0,47864.93,3.0,No,2,False,False,False,True,False,0,0.5505376344086022,-0.4779886285517984,1,1
42.5,Bachelor's,9.0,42767.51,3.0,No,1,True,False,False,False,False,0,0.3698924731182795,-0.7997821063559436,4,3
42.0,Bachelor's,18.0,46614.62,4.0,No,1,False,False,False,True,False,0,0.3612903225806451,-0.5569190685063833,0,3
45.0,Master's,6.0,33488.67,3.0,No,2,False,False,False,True,False,0,0.4129032258064516,-1.3855431763851382,1,1
47.0,Bachelor's,2.0,52127.01,3.0,Yes,1,False,False,False,True,False,1,0.4473118279569892,-0.2089290757035944,1,1
48.0,PhD,12.0,55862.11,1.0,No,3,False,False,False,False,True,0,0.4645161290322581,0.0268629169017358,3,0
36.0,High School,12.0,20757.96,4.0,No,0,True,False,False,False,False,0,0.2580645161290322,-2.1892162984382573,0,3
35.0,PhD,17.0,53470.76,5.0,No,3,False,False,False,False,True,0,0.2408602150537634,-0.1240998903903731,0,0
79.125,High School,19.0,55632.01,1.0,No,0,False,False,False,True,False,0,1.0,0.0123370039413101,4,3
57.0,High School,7.0,62718.83,1.0,No,0,False,True,False,False,False,0,0.6193548387096774,0.4597187096614534,4,3
27.0,PhD,8.0,73069.53,5.0,No,3,False,True,False,False,False,0,0.1032258064516129,1.113144903835637,2,0
41.0,PhD,6.0,67770.31,3.0,No,3,False,False,True,False,False,0,0.3440860215053763,0.7786120551691971,1,1
29.0,PhD,0.0,45694.54,2.0,No,3,False,False,False,False,True,0,0.1376344086021505,-0.6150025191653518,1,4
59.0,PhD,2.0,94133.18875,4.0,No,3,False,False,False,False,True,0,0.6537634408602151,2.442866214703138,1,1
38.0,Master's,12.0,63692.57,2.0,No,2,False,False,True,False,False,0,0.2924731182795699,0.5211896461503062,3,0
24.0,Bachelor's,24.0,46790.8,5.0,Yes,1,False,False,True,False,False,1,0.0516129032258064,-0.5457970548368143,0,2
45.0,High School,16.0,36579.19,3.0,No,0,False,False,True,False,False,0,0.4129032258064516,-1.190442678677814,4,3
34.0,PhD,24.0,90612.13,1.0,Yes,3,False,False,False,True,False,1,0.2236559139784946,2.220586367110588,3,0
29.0,PhD,23.0,50339.14,3.0,No,3,False,False,False,False,True,0,0.1376344086021505,-0.3217949775052309,3,0
46.0,PhD,0.0,94133.18875,1.0,No,3,False,False,False,True,False,0,0.4301075268817204,2.442866214703138,1,1
22.0,Master's,5.0,22118.05,1.0,No,2,False,False,True,False,False,0,0.0172043010752688,-2.103355590231628,4,4
40.0,PhD,20.0,67771.03,4.0,No,3,False,False,False,False,True,0,0.3268817204301075,0.778657507830351,3,0
48.0,PhD,5.0,40180.96,4.0,No,3,False,False,False,True,False,0,0.4645161290322581,-0.9630676351164368,1,1
27.0,PhD,11.0,55429.31,5.0,Yes,3,False,False,False,True,False,1,0.1032258064516129,-0.0004591827474268,0,0
28.0,Bachelor's,12.0,69529.35,1.0,No,1,False,False,False,True,False,0,0.1204301075268817,0.8896579566637975,3,0
55.0,Master's,12.0,40415.97,1.0,Yes,2,False,False,False,False,True,1,0.5849462365591398,-0.9482317602584198,4,1
34.0,PhD,14.0,56192.24,5.0,Yes,3,False,False,True,False,False,1,0.2236559139784946,0.0477035933277478,0,0
37.0,High School,20.0,77856.81,3.0,No,0,False,False,False,False,True,0,0.2752688172043011,1.4153596478477506,2,2
56.0,High School,15.0,18148.79,3.0,No,0,False,True,False,False,False,0,0.6021505376344086,-2.3539297983033345,4,3
24.0,High School,21.0,42842.41,3.0,No,0,True,False,False,False,False,0,0.0516129032258064,-0.7950537670220196,4,2
42.5,Master's,20.0,41431.87,5.0,Yes,2,True,False,False,False,False,1,0.3698924731182795,-0.8840993179442233,0,0
26.0,Master's,10.0,52196.42,1.0,No,2,True,False,False,False,False,0,0.086021505376344,-0.204547312910969,3,4
24.0,High School,4.0,55095.68,5.0,No,0,False,False,True,False,False,0,0.0516129032258064,-0.0215208096096034,2,2
49.0,PhD,3.0,39081.06,5.0,No,3,False,True,False,False,False,0,0.4817204301075269,-1.0325028878985854,1,1
38.0,Master's,2.0,45184.4,3.0,No,2,False,False,False,False,True,0,0.2924731182795699,-0.6472069921667929,1,1
42.5,High School,18.0,43401.63,2.0,No,0,False,False,False,True,False,0,0.3698924731182795,-0.7597509376185896,4,3
54.0,High School,19.0,49738.16,3.0,No,0,False,False,False,False,True,0,0.567741935483871,-0.3597340612555858,4,3
