Age,Education,YearsAtCompany,MonthlyIncome,SatisfactionScore,Attrition,Education_Encoded,Dept_Engineering,Dept_Finance,Dept_HR,Dept_Marketing,Dept_Sales,Attrition_Encoded,Age_MinMax,MonthlyIncome_Zscore
59.0,High School,1.0,47699.28,5.0,Yes,0,False,False,False,True,False,1,0.6537634408602151,-0.4884458970519921
49.0,PhD,4.0,75016.68,1.0,No,3,False,False,False,True,False,0,0.4817204301075269,1.2360659443436468
35.0,PhD,4.0,55095.68,5.0,No,3,False,False,True,False,False,0,0.24086021505376345,-0.021520809609603418
28.0,Bachelor's,5.0,59960.51,1.0,No,1,False,False,False,True,False,0,0.12043010752688173,0.28558956478095904
42.5,Bachelor's,18.0,54779.23,2.0,Yes,1,False,False,True,False,False,1,0.36989247311827955,-0.04149788547369169
59.0,PhD,7.0,66946.08,3.0,No,3,True,False,False,False,False,0,0.6537634408602151,0.7265794900263387
39.0,High School,15.0,55095.68,1.0,No,0,False,False,True,False,False,0,0.3096774193548387,-0.021520809609603418
43.0,Master's,12.0,30029.6,5.0,No,2,False,False,True,False,False,0,0.37849462365591396,-1.6039097550206018
31.0,PhD,0.0,54907.01,2.0,No,3,False,False,False,True,False,0,0.17204301075268819,-0.033431300692799926
31.0,High School,21.0,61046.79,1.0,No,0,False,False,False,True,False,0,0.17204301075268819,0.35416500472294665
44.0,Bachelor's,19.0,71840.17,3.0,No,1,False,False,False,False,True,0,0.3956989247311828,1.0355370100632375
56.0,Bachelor's,16.0,33382.06,4.0,No,1,False,False,False,False,True,0,0.6021505376344086,-1.3922733266707141
44.0,High School,6.0,55095.68,1.0,No,0,True,False,False,False,False,0,0.3956989247311828,-0.021520809609603418
23.0,Master's,24.0,53870.45,2.0,Yes,2,False,False,False,False,True,1,0.034408602150537634,-0.0988679818673287
42.0,Bachelor's,12.0,38481.22,3.0,Yes,1,False,False,True,False,False,1,0.36129032258064514,-1.0703700049354465
22.0,Bachelor's,3.0,62315.1,2.0,Yes,1,False,False,False,True,False,1,0.017204301075268817,0.4342317612063784
44.0,Bachelor's,3.0,66210.52,2.0,No,1,False,False,False,False,True,0,0.3956989247311828,0.680144546361972
50.0,High School,5.0,50639.62,3.0,Yes,0,False,False,False,False,True,1,0.4989247311827957,-0.30282606691701364
58.0,PhD,18.0,55095.68,2.0,Yes,3,True,False,False,False,False,1,0.6365591397849463,-0.021520809609603418
22.0,Bachelor's,11.0,50209.6,3.0,No,1,True,False,False,False,False,0,0.017204301075268817,-0.32997266879116566
41.0,PhD,21.0,48299.75,1.0,No,3,False,False,True,False,False,0,0.34408602150537637,-0.45053900893662086
53.0,Master's,6.0,47864.93,3.0,No,2,False,False,False,True,False,0,0.5505376344086022,-0.4779886285517984
42.5,Bachelor's,9.0,42767.51,3.0,No,1,True,False,False,False,False,0,0.36989247311827955,-0.7997821063559436
42.0,Bachelor's,18.0,46614.62,4.0,No,1,False,False,False,True,False,0,0.36129032258064514,-0.5569190685063833
45.0,Master's,6.0,33488.67,3.0,No,2,False,False,False,True,False,0,0.4129032258064516,-1.3855431763851382
47.0,Bachelor's,2.0,52127.01,3.0,Yes,1,False,False,False,True,False,1,0.44731182795698926,-0.2089290757035944
48.0,PhD,12.0,55862.11,1.0,No,3,False,False,False,False,True,0,0.4645161290322581,0.026862916901735884
36.0,High School,12.0,20757.96,4.0,No,0,True,False,False,False,False,0,0.25806451612903225,-2.1892162984382573
35.0,PhD,17.0,53470.76,5.0,No,3,False,False,False,False,True,0,0.24086021505376345,-0.12409989039037314
79.125,High School,19.0,55632.01,1.0,No,0,False,False,False,True,False,0,1.0,0.012337003941310145
57.0,High School,7.0,62718.83,1.0,No,0,False,True,False,False,False,0,0.6193548387096774,0.45971870966145345
27.0,PhD,8.0,73069.53,5.0,No,3,False,True,False,False,False,0,0.1032258064516129,1.113144903835637
41.0,PhD,6.0,67770.31,3.0,No,3,False,False,True,False,False,0,0.34408602150537637,0.7786120551691971
29.0,PhD,0.0,45694.54,2.0,No,3,False,False,False,False,True,0,0.13763440860215054,-0.6150025191653518
59.0,PhD,2.0,94133.18875,4.0,No,3,False,False,False,False,True,0,0.6537634408602151,2.442866214703138
38.0,Master's,12.0,63692.57,2.0,No,2,False,False,True,False,False,0,0.2924731182795699,0.5211896461503062
24.0,Bachelor's,24.0,46790.8,5.0,Yes,1,False,False,True,False,False,1,0.05161290322580645,-0.5457970548368143
45.0,High School,16.0,36579.19,3.0,No,0,False,False,True,False,False,0,0.4129032258064516,-1.190442678677814
34.0,PhD,24.0,90612.13,1.0,Yes,3,False,False,False,True,False,1,0.22365591397849463,2.220586367110588
29.0,PhD,23.0,50339.14,3.0,No,3,False,False,False,False,True,0,0.13763440860215054,-0.32179497750523095
46.0,PhD,0.0,94133.18875,1.0,No,3,False,False,False,True,False,0,0.43010752688172044,2.442866214703138
22.0,Master's,5.0,22118.05,1.0,No,2,False,False,True,False,False,0,0.017204301075268817,-2.1033555902316277
40.0,PhD,20.0,67771.03,4.0,No,3,False,False,False,False,True,0,0.32688172043010755,0.778657507830351
48.0,PhD,5.0,40180.96,4.0,No,3,False,False,False,True,False,0,0.4645161290322581,-0.9630676351164368
27.0,PhD,11.0,55429.31,5.0,Yes,3,False,False,False,True,False,1,0.1032258064516129,-0.00045918274742683514
28.0,Bachelor's,12.0,69529.35,1.0,No,1,False,False,False,True,False,0,0.12043010752688173,0.8896579566637975
55.0,Master's,12.0,40415.97,1.0,Yes,2,False,False,False,False,True,1,0.5849462365591398,-0.9482317602584198
34.0,PhD,14.0,56192.24,5.0,Yes,3,False,False,True,False,False,1,0.22365591397849463,0.0477035933277478
37.0,High School,20.0,77856.81,3.0,No,0,False,False,False,False,True,0,0.2752688172043011,1.4153596478477506
56.0,High School,15.0,18148.79,3.0,No,0,False,True,False,False,False,0,0.6021505376344086,-2.3539297983033345
24.0,High School,21.0,42842.41,3.0,No,0,True,False,False,False,False,0,0.05161290322580645,-0.7950537670220196
42.5,Master's,20.0,41431.87,5.0,Yes,2,True,False,False,False,False,1,0.36989247311827955,-0.8840993179442233
26.0,Master's,10.0,52196.42,1.0,No,2,True,False,False,False,False,0,0.08602150537634409,-0.204547312910969
24.0,High School,4.0,55095.68,5.0,No,0,False,False,True,False,False,0,0.05161290322580645,-0.021520809609603418
49.0,PhD,3.0,39081.06,5.0,No,3,False,True,False,False,False,0,0.4817204301075269,-1.0325028878985854
38.0,Master's,2.0,45184.4,3.0,No,2,False,False,False,False,True,0,0.2924731182795699,-0.6472069921667929
42.5,High School,18.0,43401.63,2.0,No,0,False,False,False,True,False,0,0.36989247311827955,-0.7597509376185896
54.0,High School,19.0,49738.16,3.0,No,0,False,False,False,False,True,0,0.567741935483871,-0.3597340612555858
30.0,PhD,24.0,94133.18875,3.0,No,3,False,False,False,True,False,0,0.15483870967741936,2.442866214703138
56.0,Bachelor's,17.0,68658.46,2.0,No,1,False,False,False,False,True,0,0.6021505376344086,0.8346798065633837
34.0,Master's,14.0,70829.96,2.0,No,2,False,True,False,False,False,0,0.22365591397849463,0.9717637700295492
51.0,PhD,8.0,64804.51,3.0,No,3,False,False,False,True,False,0,0.5161290322580645,0.5913849684328614
35.0,High School,16.0,55095.68,1.0,No,0,False,False,True,False,False,0,0.24086021505376345,-0.021520809609603418
28.0,High School,13.0,54950.56,3.0,No,0,False,False,False,False,True,0,0.12043010752688173,-0.030682045979951243
34.0,PhD,14.0,90614.94,3.0,No,3,False,False,False,False,True,0,0.22365591397849463,2.22076375874648
43.0,Master's,0.0,70217.99,3.0,No,2,False,False,False,True,False,0,0.37849462365591396,0.933130901909637
42.5,Bachelor's,20.0,48392.43,1.0,No,1,False,False,True,False,False,0,0.36989247311827955,-0.44468824138698043
